"geoid","location","total_population","percent_unemployed","percent_poverty_150","severe_housing_burden","median_income"
"530330012013","Block Group 3; Census Tract 12.01; King County; Washington",1024,0.0374812593703148,0.498046875,0.281914893617021,NA
"530330012021","Block Group 1; Census Tract 12.02; King County; Washington",830,0.0657672849915683,0.0807228915662651,0.120743034055728,13.5703
"530330012022","Block Group 2; Census Tract 12.02; King County; Washington",1140,0.141043723554302,0.116666666666667,0.220902612826603,10.7196
"530330012023","Block Group 3; Census Tract 12.02; King County; Washington",1962,0.0669064748201439,0.18348623853211,0.267889908256881,7.4005
"530330013001","Block Group 1; Census Tract 13; King County; Washington",1850,0.00454545454545455,0.110810810810811,0.0668127053669222,11.9792
"530330013002","Block Group 2; Census Tract 13; King County; Washington",2067,0.0848990953375087,0.211417513304306,0.124105011933174,11.7135
"530330013003","Block Group 3; Census Tract 13; King County; Washington",1635,0.0128928283642224,0.292966360856269,0.304668304668305,8.5403
"530330014001","Block Group 1; Census Tract 14; King County; Washington",946,0.0332829046898638,0.0663101604278075,0.0618811881188119,NA
"530330014002","Block Group 2; Census Tract 14; King County; Washington",1461,0.0427807486631016,0.152635181382615,0.151162790697674,20.8235
"530330014003","Block Group 3; Census Tract 14; King County; Washington",1271,0.0994594594594595,0.146341463414634,0.132243684992571,8.9877
"530330014004","Block Group 4; Census Tract 14; King County; Washington",1579,0.0932377049180328,0.0740975300823306,0.217142857142857,13.5673
"530330015001","Block Group 1; Census Tract 15; King County; Washington",1328,0.0428176795580111,0.0316265060240964,0.0235934664246824,16.1225
"530330015002","Block Group 2; Census Tract 15; King County; Washington",1422,0.00611995104039168,0.0541490857946554,0.0551724137931034,23.0417
"530330016001","Block Group 1; Census Tract 16; King County; Washington",1609,0.0281329923273657,0.0379117464263518,0.108108108108108,23.4786
"530330016002","Block Group 2; Census Tract 16; King County; Washington",1633,0.0247641509433962,0.039828431372549,0.114901256732496,25.0001
"530330016003","Block Group 3; Census Tract 16; King County; Washington",1661,0.0206540447504303,0.111378687537628,0.0844079718640094,13.9044
"530330017011","Block Group 1; Census Tract 17.01; King County; Washington",1686,0.0677487649964714,0.0670225385527877,0.109691160809372,13.4097
"530330017012","Block Group 2; Census Tract 17.01; King County; Washington",1555,0.0175438596491228,0.138263665594855,0.227642276422764,NA
"530330017013","Block Group 3; Census Tract 17.01; King County; Washington",1191,0.0820568927789934,0.119227539882452,0.05175983436853,14.9306
"530330017021","Block Group 1; Census Tract 17.02; King County; Washington",1720,0.0653643876784373,0.0645348837209302,0.124497991967871,9.9628
"530330017022","Block Group 2; Census Tract 17.02; King County; Washington",1478,0.0365111561866126,0.054127198917456,0.0755395683453237,22.3529
"530330017023","Block Group 3; Census Tract 17.02; King County; Washington",1105,0.0506756756756757,0.0783316378433367,0.17906976744186,9.5208
"530330017024","Block Group 4; Census Tract 17.02; King County; Washington",1546,0,0.100591715976331,0.0772532188841202,11.2039
"530330018001","Block Group 1; Census Tract 18; King County; Washington",1960,0.015625,0.120918367346939,0.0166666666666667,16.2991
"530330018002","Block Group 2; Census Tract 18; King County; Washington",1506,0,0.0531208499335989,0.249217935349322,9.6141
"530330018003","Block Group 3; Census Tract 18; King County; Washington",1530,0.0540752351097179,0.0437908496732026,0.0294784580498866,12.4643
"530330019001","Block Group 1; Census Tract 19; King County; Washington",1673,0.0318887980376124,0.107591153616258,0.0617469879518072,18.3145
"530330019002","Block Group 2; Census Tract 19; King County; Washington",1240,0.0225763612217795,0.0604838709677419,0.036144578313253,23.8828
"530330019003","Block Group 3; Census Tract 19; King County; Washington",1140,0.0306258322237017,0.107017543859649,0.248990578734859,8.7457
"530330019004","Block Group 4; Census Tract 19; King County; Washington",1189,0.100905562742561,0.180824222035324,0.12593984962406,10.4688
"530330020001","Block Group 1; Census Tract 20; King County; Washington",1723,0.0282258064516129,0.0660954712362301,0.0675182481751825,16.8214
"530330020002","Block Group 2; Census Tract 20; King County; Washington",1274,0.109669811320755,0.0565149136577708,0.105751391465677,14.4875
"530330020003","Block Group 3; Census Tract 20; King County; Washington",1022,0.0352760736196319,0.0577299412915851,0.104072398190045,14.4318
"530330021001","Block Group 1; Census Tract 21; King County; Washington",1671,0,0.0269299820466786,0.160125588697017,20.0673
"530330021002","Block Group 2; Census Tract 21; King County; Washington",1737,0.0274122807017544,0.0593768371546149,0.120200333889816,17.8542
"530330021003","Block Group 3; Census Tract 21; King County; Washington",1592,0.0563265306122449,0.175251256281407,0.255712731229597,9.605
"530330022001","Block Group 1; Census Tract 22; King County; Washington",2383,0.0392452830188679,0.0432228283676039,0.0986666666666667,19.6765
"530330022002","Block Group 2; Census Tract 22; King County; Washington",1514,0.0865892291446674,0.0140093395597065,0.0980066445182724,19.6518
"530330022003","Block Group 3; Census Tract 22; King County; Washington",1395,0.0440097799511002,0.0805515239477504,0.0841584158415842,18.2386
"530330022004","Block Group 4; Census Tract 22; King County; Washington",1089,0.0838206627680312,0,0.111638954869359,19.6688
"530330024001","Block Group 1; Census Tract 24; King County; Washington",1626,0.0291353383458647,0.00738007380073801,0.0625850340136054,22.9934
"530330024002","Block Group 2; Census Tract 24; King County; Washington",1312,0.0483162518301611,0.0685975609756098,0.183641975308642,9.6964
"530330025001","Block Group 1; Census Tract 25; King County; Washington",1427,0,0.0364400840925018,0.0452079566003617,22.5391
"530330025002","Block Group 2; Census Tract 25; King County; Washington",1868,0.0222222222222222,0.0613232920925229,0.0968992248062016,16.3125
"530330026001","Block Group 1; Census Tract 26; King County; Washington",1392,0,0.0272988505747126,0.0788091068301226,21.3057
"530330026002","Block Group 2; Census Tract 26; King County; Washington",1599,0.0408653846153846,0.0537836147592245,0.150837988826816,15.247
"530330026003","Block Group 3; Census Tract 26; King County; Washington",1783,0,0.128996074032529,0.178082191780822,11.4327
"530330026004","Block Group 4; Census Tract 26; King County; Washington",880,0,0.0363636363636364,0.113888888888889,20.0588
"530330027001","Block Group 1; Census Tract 27; King County; Washington",1721,0.0388529139685476,0.257408483439861,0.116788321167883,13.3787
"530330027002","Block Group 2; Census Tract 27; King County; Washington",1537,0,0.0735198438516591,0.0959860383944154,21.475
"530330027003","Block Group 3; Census Tract 27; King County; Washington",1101,0.026536312849162,0.0281562216167121,0.0588235294117647,22.7776
"530330027004","Block Group 4; Census Tract 27; King County; Washington",1649,0.0527363184079602,0.0480295566502463,0,22.7708
"530330028001","Block Group 1; Census Tract 28; King County; Washington",1150,0.0214932126696833,0.0721739130434783,0.0551601423487545,12.0255
"530330028002","Block Group 2; Census Tract 28; King County; Washington",1158,0.0174216027874564,0.0915371329879102,0.0856610800744879,16.8942
"530330028003","Block Group 3; Census Tract 28; King County; Washington",1234,0.0324763193504736,0.0858995137763371,0.0762250453720508,17.4583
"530330028004","Block Group 4; Census Tract 28; King County; Washington",1462,0,0.0259836674090572,0.0526315789473684,13.8899
"530330029001","Block Group 1; Census Tract 29; King County; Washington",1441,0.0143003064351379,0.0978487161693269,0.107098381070984,10.3414
"530330029002","Block Group 2; Census Tract 29; King County; Washington",1862,0.036036036036036,0.0300751879699248,0.0329113924050633,18.625
"530330029003","Block Group 3; Census Tract 29; King County; Washington",1342,0,0.0350223546944858,0.124343257443082,12.4922
"530330030001","Block Group 1; Census Tract 30; King County; Washington",1800,0,0,0.0353089533417402,21.8138
"530330030002","Block Group 2; Census Tract 30; King County; Washington",1382,0,0.0195369030390738,0.0823754789272031,18.1667
"530330030003","Block Group 3; Census Tract 30; King County; Washington",1876,0.0101010101010101,0.0671681891456206,0.0308510638297872,12.628
"530330030004","Block Group 4; Census Tract 30; King County; Washington",1532,0,0.139686684073107,0.111926605504587,21.7313
"530330031001","Block Group 1; Census Tract 31; King County; Washington",1040,0,0.0591658583899127,0.11038961038961,21.75
"530330031002","Block Group 2; Census Tract 31; King County; Washington",1478,0.137037037037037,0,0.0938628158844765,18.0735
"530330031003","Block Group 3; Census Tract 31; King County; Washington",1326,0,0.0693815987933635,0.036741214057508,17.7059
"530330031004","Block Group 4; Census Tract 31; King County; Washington",1338,0.047554347826087,0.0142857142857143,0.0393518518518519,25.0001
"530330031005","Block Group 5; Census Tract 31; King County; Washington",1560,0.0590717299578059,0.125641025641026,0.268256333830104,16.6875
"530330032011","Block Group 1; Census Tract 32.01; King County; Washington",1463,0,0.0341763499658237,0.0169014084507042,14.6836
"530330032012","Block Group 2; Census Tract 32.01; King County; Washington",1754,0.0435413642960813,0.0176738882554162,0.172222222222222,13.1515
"530330032013","Block Group 3; Census Tract 32.01; King County; Washington",1466,0.0402010050251256,0.189631650750341,0.203389830508475,12.3455
"530330032021","Block Group 1; Census Tract 32.02; King County; Washington",1318,0.0254582484725051,0.0295902883156297,0.152421652421652,13.9811
"530330032022","Block Group 2; Census Tract 32.02; King County; Washington",2001,0.0117462803445576,0.0104947526236882,0,20.3712
"530330032023","Block Group 3; Census Tract 32.02; King County; Washington",1512,0.112947658402204,0,0.105504587155963,19.5769
"530330033011","Block Group 1; Census Tract 33.01; King County; Washington",1194,0.0262901655306719,0.134840871021776,0.208823529411765,13.0052
"530330033012","Block Group 2; Census Tract 33.01; King County; Washington",1465,0.0548302872062663,0.111262798634812,0.10613810741688,16.8409
"530330033013","Block Group 3; Census Tract 33.01; King County; Washington",1498,0,0.0300400534045394,0.0830140485312899,17.525
"530330033021","Block Group 1; Census Tract 33.02; King County; Washington",1503,0.105331599479844,0.250166333998669,0.022964509394572,24.6375
