"geoid","location","total_population","percent_unemployed","percent_poverty_150","severe_housing_burden","median_income"
"98001","ZCTA5 98001",37460,0.0652461970636561,0.158910572592751,0.113253213153063,10.6791
"98002","ZCTA5 98002",37509,0.0718876102226872,0.200005412866383,0.199593524423576,7.8684
"98003","ZCTA5 98003",51619,0.0692608452802085,0.259238895652515,0.219418716065155,7.5319
"98004","ZCTA5 98004",39897,0.0408404354062948,0.0765402307518287,0.160953112990008,18.2545
"98005","ZCTA5 98005",21846,0.0466118929472057,0.128024193548387,0.192371111355392,16.0849
"98006","ZCTA5 98006",40009,0.0376709008048095,0.113094641962944,0.155992615734166,19.815
"98007","ZCTA5 98007",27692,0.0437270635068732,0.110573952237287,0.168251520603101,13.1109
"98008","ZCTA5 98008",27242,0.0457047660437491,0.108288967761017,0.115046124483088,18.4583
"98010","ZCTA5 98010",6857,0.0116610520860327,0.0310631471488989,0.0943752359380898,14.2048
"98011","ZCTA5 98011",28963,0.038558205112487,0.0774772893390415,0.147358742895353,13.1667
"98014","ZCTA5 98014",8264,0.0115104533709185,0.050701839303001,0.0787730916695713,16.4306
"98019","ZCTA5 98019",12242,0.0295685894328648,0.119964043474708,0.123465703971119,16.1212
"98022","ZCTA5 98022",22418,0.0446683459277918,0.099882491186839,0.111111111111111,12.0406
"98023","ZCTA5 98023",50448,0.0379052736171935,0.143041467336284,0.142688147814331,10.4893
"98024","ZCTA5 98024",3908,0.0267900633219679,0.0435005117707267,0.143966547192354,16.0641
"98027","ZCTA5 98027",28955,0.037316587162611,0.0839731955884406,0.115977634700102,15.3301
"98028","ZCTA5 98028",23741,0.0380560747663551,0.11812154229486,0.119306087696892,13.9764
"98029","ZCTA5 98029",30586,0.031437736949548,0.059524989264361,0.144614114733801,17.0759
"98030","ZCTA5 98030",38523,0.0609172436225082,0.132612273689161,0.164950812171128,9.1761
"98031","ZCTA5 98031",40094,0.0656690855005183,0.182121127969503,0.156733994718436,10.5965
"98032","ZCTA5 98032",40862,0.0963493530499076,0.270175526454165,0.209403747870528,8.2636
"98033","ZCTA5 98033",40982,0.0480374409466202,0.0862236145297233,0.145977011494253,18.25
"98034","ZCTA5 98034",52531,0.0459970706472623,0.107110091743119,0.143790849673203,13.5219
"98038","ZCTA5 98038",37324,0.0413227598856341,0.072639030407036,0.119749564114757,15.2261
"98039","ZCTA5 98039",2928,0.0284090909090909,0.0881147540983607,0.233663366336634,25.0001
"98040","ZCTA5 98040",25307,0.030315054360765,0.0544578121265238,0.14114024632499,21.9069
"98042","ZCTA5 98042",50216,0.036023436023436,0.0926795166283831,0.13654923005133,12.7552
"98045","ZCTA5 98045",15289,0.026230269266481,0.0471580875138989,0.104824084149438,17.5765
"98047","ZCTA5 98047",6817,0.0481586402266289,0.167669062637524,0.181165919282511,11.5188
"98050","ZCTA5 98050",108,0,0,0.620253164556962,NA
"98051","ZCTA5 98051",3442,0.0208333333333333,0.017196152725153,0.0576923076923077,13.6439
"98052","ZCTA5 98052",80717,0.047247311827957,0.0799377528789293,0.124089299821517,16.346
"98053","ZCTA5 98053",22765,0.0569607843137255,0.0926805665523005,0.12297345982947,19.2292
"98055","ZCTA5 98055",24660,0.0518138407811275,0.141547861507128,0.167910447761194,9.7224
"98056","ZCTA5 98056",35849,0.0452190752844348,0.122984721870516,0.154074380735527,11.3688
"98057","ZCTA5 98057",12705,0.0380877331231941,0.219137766465161,0.296563904945408,6.8552
"98058","ZCTA5 98058",42980,0.052272927108063,0.122994902492634,0.128641402423305,11.5201
"98059","ZCTA5 98059",42406,0.0530776901459523,0.0919238500650349,0.146556473829201,13.8654
