"geoid","location","total_population","percent_unemployed","percent_poverty_150","severe_housing_burden","median_income"
"53033004201","Census Tract 42.01; King County; Washington",3838,0.0512367491166078,0.0489838457529964,0.0678934010152284,19.5208
"53033004202","Census Tract 42.02; King County; Washington",4705,0.0325626831650928,0.0266240681576145,0.0505104782375067,19.045
"53033004301","Census Tract 43.01; King County; Washington",3486,0.0488081725312145,0.23625843780135,0.185242121445042,11.9464
"53033004302","Census Tract 43.02; King County; Washington",4549,0.0447227191413238,0.549909724013412,0.407528641571195,3.8984
"53033004401","Census Tract 44.01; King County; Washington",3842,0.0831024930747922,0.234249236747155,0.252050708426547,12.0521
"53033004402","Census Tract 44.02; King County; Washington",3511,0.0445163901254553,0.40301908288237,0.287274713271436,5.3852
"53033004500","Census Tract 45; King County; Washington",3475,0.0432784373803141,0.202302158273381,0.219981668194317,19.1336
"53033004600","Census Tract 46; King County; Washington",3652,0.11062335381914,0.0732448866777225,0.0578114246386786,16.455
"53033004701","Census Tract 47.01; King County; Washington",3446,0.105263157894737,0.146256529309344,0.200527704485488,10.2708
"53033004702","Census Tract 47.02; King County; Washington",3697,0.0590224408238549,0.125777657560184,0.199107866991079,11.8622
"53033004703","Census Tract 47.03; King County; Washington",4173,0.0124590163934426,0.028516654684879,0.108980355472404,16.6921
"53033004800","Census Tract 48; King County; Washington",5181,0.0205354821939173,0.0652383709708551,0.0655867246147768,16.7266
"53033004901","Census Tract 49.01; King County; Washington",3693,0.0503915560095335,0.09875173370319,0.105029585798817,12.3156
"53033004902","Census Tract 49.02; King County; Washington",3271,0.018140589569161,0.139778325123153,0.12083973374296,12.1726
"53033005000","Census Tract 50; King County; Washington",4778,0.0551274451689389,0.0914608622854751,0.184180359189912,11.6467
"53033005100","Census Tract 51; King County; Washington",3809,0.0147299509001637,0.0703596744552376,0.149968886123211,16.1506
"53033005201","Census Tract 52.01; King County; Washington",3798,0.0558598028477547,0.176781002638522,0.275880758807588,10.0188
"53033005202","Census Tract 52.02; King County; Washington",2853,0.0285046728971963,0.403785488958991,0.291139240506329,4.9598
"53033005303","Census Tract 53.03; King County; Washington",4203,0.132775119617225,0.52317880794702,0.424242424242424,3.75
"53033005304","Census Tract 53.04; King County; Washington",3425,0.307618129218901,0.645669291338583,0.774193548387097,1.75
"53033005305","Census Tract 53.05; King County; Washington",2275,0.0552964690206529,0.708533077660594,0.523041474654378,2.4444
"53033005306","Census Tract 53.06; King County; Washington",3632,0.0773333333333333,0.468144821779399,0.451828954147347,4.3837
"53033005307","Census Tract 53.07; King County; Washington",3068,0.0738007380073801,0.771250863856254,0.408273381294964,4.2692
"53033005401","Census Tract 54.01; King County; Washington",3599,0.0588815789473684,0.108641289247013,0.0986468790920995,14.6417
"53033005402","Census Tract 54.02; King County; Washington",2998,0.0575848732273313,0.109072715143429,0.159977388355003,11.5815
"53033005600","Census Tract 56; King County; Washington",6992,0.0292957746478873,0.020603805980827,0.171644612476371,24.0137
"53033005700","Census Tract 57; King County; Washington",6834,0.0263892413093124,0.104475421863536,0.14906438312718,18.5945
"53033005801","Census Tract 58.01; King County; Washington",6295,0.0117597648047039,0.0996028594122319,0.104945717732207,14.3952
"53033005803","Census Tract 58.03; King County; Washington",3251,0.0484562607204117,0.152704791344668,0.1185667752443,17.2649
"53033005804","Census Tract 58.04; King County; Washington",2627,0.0587412587412587,0.174014826375341,0.10951526032316,10.4147
"53033005901","Census Tract 59.01; King County; Washington",3568,0.0504786771105309,0.086714399363564,0.0809112333071485,15.0139
"53033005902","Census Tract 59.02; King County; Washington",4139,0.054421768707483,0.0847047434656341,0.121863799283154,18.2389
"53033006000","Census Tract 60; King County; Washington",6343,0.0319780721790772,0.0634628265237776,0.09375,16.0049
"53033006100","Census Tract 61; King County; Washington",6360,0.0670690811535882,0.152044025157233,0.113602391629297,13.3307
"53033006200","Census Tract 62; King County; Washington",4193,0.0444533440128154,0.0758521363418147,0.111310592459605,25.0001
"53033006300","Census Tract 63; King County; Washington",6006,0.142579390797148,0.0271508569489225,0.114022140221402,22.5464
"53033006400","Census Tract 64; King County; Washington",3631,0.0302702702702703,0.0360782153676673,0.116632160110421,23.2426
"53033006500","Census Tract 65; King County; Washington",5052,0.0099009900990099,0.055027711797308,0.105874316939891,17.335
"53033006600","Census Tract 66; King County; Washington",4257,0.0148601398601399,0.0951374207188161,0.124177949709865,12.0507
"53033006701","Census Tract 67.01; King County; Washington",3820,0.0472511144130758,0.127748691099476,0.21239954075775,12.9438
"53033006702","Census Tract 67.02; King County; Washington",2903,0.0525268603263032,0.11884257664485,0.0382226469182991,13.1918
"53033006703","Census Tract 67.03; King County; Washington",3103,0.0227703984819734,0.0457621656461489,0.118172268907563,12.9741
"53033006800","Census Tract 68; King County; Washington",3332,0.0235803657362849,0.0588235294117647,0.150271575135788,15.3401
"53033006900","Census Tract 69; King County; Washington",4935,0.0317145688800793,0.0725642070933551,0.110896817743491,18.3421
"53033007001","Census Tract 70.01; King County; Washington",4215,0.0992671552298468,0.0779220779220779,0.0826882477128782,7.3946
"53033007002","Census Tract 70.02; King County; Washington",4152,0.0460048426150121,0.141136801541426,0.161558834657586,11.0327
