zip,year,category_id,category,count,percentage,total_requests
98010,2025,10,Transportation Assistance,5,4.8%,105
98010,2025,11,Education,0,0%,105
98010,2025,12,Disaster,1,<1%,105
98010,2025,13,Other,13,12.4%,105
98011,2025,2,Housing & Shelter,248,22.3%,1111
98011,2025,3,Food,138,12.4%,1111
98011,2025,1,Utilities,94,8.5%,1111
98011,2025,4,Healthcare & COVID-19,60,5.4%,1111
98011,2025,5,Mental Health & Addictions,23,2.1%,1111
98011,2025,6,Employment & Income,42,3.8%,1111
98011,2025,7,Clothing & Household,26,2.3%,1111
98011,2025,8,Child Care & Parenting,12,1.1%,1111
98011,2025,9,Government & Legal,194,17.5%,1111
98011,2025,10,Transportation Assistance,46,4.1%,1111
98011,2025,11,Education,6,<1%,1111
98011,2025,12,Disaster,48,4.3%,1111
98011,2025,13,Other,174,15.7%,1111
98013,2025,2,Housing & Shelter,1,50.0%,2
98013,2025,3,Food,0,0%,2
98013,2025,1,Utilities,1,50.0%,2
98013,2025,4,Healthcare & COVID-19,0,0%,2
98013,2025,5,Mental Health & Addictions,0,0%,2
98013,2025,6,Employment & Income,0,0%,2
98013,2025,7,Clothing & Household,0,0%,2
98013,2025,8,Child Care & Parenting,0,0%,2
98013,2025,9,Government & Legal,0,0%,2
98013,2025,10,Transportation Assistance,0,0%,2
98013,2025,11,Education,0,0%,2
98013,2025,12,Disaster,0,0%,2
98013,2025,13,Other,0,0%,2
98014,2025,2,Housing & Shelter,57,29.1%,196
98014,2025,3,Food,10,5.1%,196
98014,2025,1,Utilities,28,14.3%,196
98014,2025,4,Healthcare & COVID-19,19,9.7%,196
98014,2025,5,Mental Health & Addictions,6,3.1%,196
98014,2025,6,Employment & Income,5,2.6%,196
98014,2025,7,Clothing & Household,6,3.1%,196
98014,2025,8,Child Care & Parenting,2,1.0%,196
98014,2025,9,Government & Legal,22,11.2%,196
98014,2025,10,Transportation Assistance,5,2.6%,196
98014,2025,11,Education,2,1.0%,196
98014,2025,12,Disaster,6,3.1%,196
98014,2025,13,Other,28,14.3%,196
98015,2025,2,Housing & Shelter,0,0%,4
98015,2025,3,Food,0,0%,4
98015,2025,1,Utilities,0,0%,4
98015,2025,4,Healthcare & COVID-19,1,25.0%,4
98015,2025,5,Mental Health & Addictions,0,0%,4
98015,2025,6,Employment & Income,0,0%,4
98015,2025,7,Clothing & Household,0,0%,4
98015,2025,8,Child Care & Parenting,0,0%,4
98015,2025,9,Government & Legal,0,0%,4
98015,2025,10,Transportation Assistance,0,0%,4
98015,2025,11,Education,0,0%,4
98015,2025,12,Disaster,0,0%,4
98015,2025,13,Other,3,75.0%,4
98019,2025,2,Housing & Shelter,63,22.0%,286
98019,2025,3,Food,46,16.1%,286
98019,2025,1,Utilities,35,12.2%,286
98019,2025,4,Healthcare & COVID-19,15,5.2%,286
98019,2025,5,Mental Health & Addictions,2,<1%,286
98019,2025,6,Employment & Income,6,2.1%,286
98019,2025,7,Clothing & Household,8,2.8%,286
98019,2025,8,Child Care & Parenting,4,1.4%,286
98019,2025,9,Government & Legal,30,10.5%,286
98019,2025,10,Transportation Assistance,10,3.5%,286
98019,2025,11,Education,1,<1%,286
98019,2025,12,Disaster,12,4.2%,286
98019,2025,13,Other,54,18.9%,286
98022,2025,2,Housing & Shelter,134,26.7%,501
98022,2025,3,Food,45,9.0%,501
98022,2025,1,Utilities,53,10.6%,501
98022,2025,4,Healthcare & COVID-19,29,5.8%,501
98022,2025,5,Mental Health & Addictions,14,2.8%,501
98022,2025,6,Employment & Income,17,3.4%,501
98022,2025,7,Clothing & Household,5,<1%,501
98022,2025,8,Child Care & Parenting,1,<1%,501
98022,2025,9,Government & Legal,100,20.0%,501
98022,2025,10,Transportation Assistance,17,3.4%,501
98022,2025,11,Education,0,0%,501
98022,2025,12,Disaster,19,3.8%,501
98022,2025,13,Other,67,13.4%,501
98023,2025,2,Housing & Shelter,1332,30.4%,4386
98023,2025,3,Food,613,14.0%,4386
98023,2025,1,Utilities,563,12.8%,4386
98023,2025,4,Healthcare & COVID-19,179,4.1%,4386
98023,2025,5,Mental Health & Addictions,66,1.5%,4386
98023,2025,6,Employment & Income,127,2.9%,4386
98023,2025,7,Clothing & Household,144,3.3%,4386
98023,2025,8,Child Care & Parenting,26,<1%,4386
98023,2025,9,Government & Legal,512,11.7%,4386
98023,2025,10,Transportation Assistance,131,3.0%,4386
98023,2025,11,Education,20,<1%,4386
98023,2025,12,Disaster,183,4.2%,4386
98023,2025,13,Other,490,11.2%,4386
98024,2025,2,Housing & Shelter,14,18.4%,76
98024,2025,3,Food,11,14.5%,76
98024,2025,1,Utilities,12,15.8%,76
98024,2025,4,Healthcare & COVID-19,2,2.6%,76
98024,2025,5,Mental Health & Addictions,1,1.3%,76
98024,2025,6,Employment & Income,2,2.6%,76
98024,2025,7,Clothing & Household,5,6.6%,76
98024,2025,8,Child Care & Parenting,1,1.3%,76
98024,2025,9,Government & Legal,5,6.6%,76
98024,2025,10,Transportation Assistance,8,10.5%,76
98024,2025,11,Education,0,0%,76
98024,2025,12,Disaster,6,7.9%,76
98024,2025,13,Other,9,11.8%,76
98025,2025,2,Housing & Shelter,2,40.0%,5
98025,2025,3,Food,0,0%,5
98025,2025,1,Utilities,0,0%,5
98025,2025,4,Healthcare & COVID-19,0,0%,5
98025,2025,5,Mental Health & Addictions,0,0%,5
98025,2025,6,Employment & Income,0,0%,5
98025,2025,7,Clothing & Household,0,0%,5
98025,2025,8,Child Care & Parenting,0,0%,5
98025,2025,9,Government & Legal,1,20.0%,5
98025,2025,10,Transportation Assistance,0,0%,5
98025,2025,11,Education,0,0%,5
98025,2025,12,Disaster,0,0%,5
98025,2025,13,Other,2,40.0%,5
98027,2025,2,Housing & Shelter,265,27.8%,952
98027,2025,3,Food,119,12.5%,952
98027,2025,1,Utilities,70,7.4%,952
98027,2025,4,Healthcare & COVID-19,71,7.5%,952
98027,2025,5,Mental Health & Addictions,15,1.6%,952
98027,2025,6,Employment & Income,12,1.3%,952
98027,2025,7,Clothing & Household,26,2.7%,952
98027,2025,8,Child Care & Parenting,6,<1%,952
98027,2025,9,Government & Legal,125,13.1%,952
98027,2025,10,Transportation Assistance,49,5.1%,952
98027,2025,11,Education,4,<1%,952
98027,2025,12,Disaster,49,5.1%,952
98027,2025,13,Other,141,14.8%,952
98028,2025,2,Housing & Shelter,158,23.9%,660
98028,2025,3,Food,86,13.0%,660
98028,2025,1,Utilities,43,6.5%,660
98028,2025,4,Healthcare & COVID-19,40,6.1%,660
98028,2025,5,Mental Health & Addictions,20,3.0%,660
98028,2025,6,Employment & Income,25,3.8%,660
98028,2025,7,Clothing & Household,19,2.9%,660
98028,2025,8,Child Care & Parenting,10,1.5%,660
98028,2025,9,Government & Legal,127,19.2%,660
98028,2025,10,Transportation Assistance,25,3.8%,660
98028,2025,11,Education,1,<1%,660
98028,2025,12,Disaster,21,3.2%,660
98028,2025,13,Other,85,12.9%,660
98029,2025,2,Housing & Shelter,272,26.5%,1027
98029,2025,3,Food,122,11.9%,1027
98029,2025,1,Utilities,86,8.4%,1027
98029,2025,4,Healthcare & COVID-19,46,4.5%,1027
98029,2025,5,Mental Health & Addictions,27,2.6%,1027
98029,2025,6,Employment & Income,17,1.7%,1027
98029,2025,7,Clothing & Household,50,4.9%,1027
98029,2025,8,Child Care & Parenting,8,<1%,1027
98029,2025,9,Government & Legal,179,17.4%,1027
98029,2025,10,Transportation Assistance,36,3.5%,1027
98029,2025,11,Education,5,<1%,1027
98029,2025,12,Disaster,45,4.4%,1027
98029,2025,13,Other,134,13.0%,1027
98030,2025,2,Housing & Shelter,1180,31.3%,3774
98030,2025,3,Food,463,12.3%,3774
98030,2025,1,Utilities,484,12.8%,3774
98030,2025,4,Healthcare & COVID-19,136,3.6%,3774
98030,2025,5,Mental Health & Addictions,62,1.6%,3774
98030,2025,6,Employment & Income,84,2.2%,3774
98030,2025,7,Clothing & Household,140,3.7%,3774
98030,2025,8,Child Care & Parenting,27,<1%,3774
98030,2025,9,Government & Legal,495,13.1%,3774
98030,2025,10,Transportation Assistance,145,3.8%,3774
98030,2025,11,Education,9,<1%,3774
98030,2025,12,Disaster,137,3.6%,3774
98030,2025,13,Other,412,10.9%,3774
98031,2025,2,Housing & Shelter,1012,31.1%,3251
98031,2025,3,Food,465,14.3%,3251
98031,2025,1,Utilities,385,11.8%,3251
98031,2025,4,Healthcare & COVID-19,122,3.8%,3251
98031,2025,5,Mental Health & Addictions,51,1.6%,3251
98031,2025,6,Employment & Income,91,2.8%,3251
98031,2025,7,Clothing & Household,113,3.5%,3251
98031,2025,8,Child Care & Parenting,16,<1%,3251
98031,2025,9,Government & Legal,384,11.8%,3251
98031,2025,10,Transportation Assistance,111,3.4%,3251
98031,2025,11,Education,13,<1%,3251
98031,2025,12,Disaster,111,3.4%,3251
98031,2025,13,Other,377,11.6%,3251
98032,2025,2,Housing & Shelter,2011,32.2%,6254
98032,2025,3,Food,854,13.7%,6254
98032,2025,1,Utilities,674,10.8%,6254
98032,2025,4,Healthcare & COVID-19,231,3.7%,6254
98032,2025,5,Mental Health & Addictions,90,1.4%,6254
98032,2025,6,Employment & Income,149,2.4%,6254
98032,2025,7,Clothing & Household,211,3.4%,6254
98032,2025,8,Child Care & Parenting,51,<1%,6254
98032,2025,9,Government & Legal,705,11.3%,6254
98032,2025,10,Transportation Assistance,223,3.6%,6254
98032,2025,11,Education,14,<1%,6254
98032,2025,12,Disaster,240,3.8%,6254
98032,2025,13,Other,801,12.8%,6254
98033,2025,2,Housing & Shelter,290,26.1%,1111
98033,2025,3,Food,131,11.8%,1111
98033,2025,1,Utilities,103,9.3%,1111
98033,2025,4,Healthcare & COVID-19,43,3.9%,1111
98033,2025,5,Mental Health & Addictions,24,2.2%,1111
98033,2025,6,Employment & Income,30,2.7%,1111
98033,2025,7,Clothing & Household,36,3.2%,1111
98033,2025,8,Child Care & Parenting,9,<1%,1111
98033,2025,9,Government & Legal,175,15.8%,1111
98033,2025,10,Transportation Assistance,69,6.2%,1111
98033,2025,11,Education,6,<1%,1111
98033,2025,12,Disaster,48,4.3%,1111
98033,2025,13,Other,147,13.2%,1111
98034,2025,2,Housing & Shelter,682,27.4%,2488
98034,2025,3,Food,289,11.6%,2488
98034,2025,1,Utilities,254,10.2%,2488
98034,2025,4,Healthcare & COVID-19,111,4.5%,2488
98034,2025,5,Mental Health & Addictions,35,1.4%,2488
98034,2025,6,Employment & Income,74,3.0%,2488
98034,2025,7,Clothing & Household,61,2.5%,2488
98034,2025,8,Child Care & Parenting,26,1.0%,2488
98034,2025,9,Government & Legal,401,16.1%,2488
98034,2025,10,Transportation Assistance,102,4.1%,2488
98034,2025,11,Education,4,<1%,2488
98034,2025,12,Disaster,94,3.8%,2488
98034,2025,13,Other,355,14.3%,2488
98035,2025,2,Housing & Shelter,5,41.7%,12
98035,2025,3,Food,3,25.0%,12
98035,2025,1,Utilities,1,8.3%,12
98035,2025,4,Healthcare & COVID-19,2,16.7%,12
98035,2025,5,Mental Health & Addictions,0,0%,12
98035,2025,6,Employment & Income,0,0%,12
98035,2025,7,Clothing & Household,0,0%,12
98035,2025,8,Child Care & Parenting,0,0%,12
98035,2025,9,Government & Legal,1,8.3%,12
98035,2025,10,Transportation Assistance,0,0%,12
98035,2025,11,Education,0,0%,12
98035,2025,12,Disaster,0,0%,12
98035,2025,13,Other,0,0%,12
98038,2025,2,Housing & Shelter,289,27.1%,1068
98038,2025,3,Food,119,11.1%,1068
98038,2025,1,Utilities,100,9.4%,1068
98038,2025,4,Healthcare & COVID-19,71,6.6%,1068
98038,2025,5,Mental Health & Addictions,26,2.4%,1068
98038,2025,6,Employment & Income,24,2.2%,1068
98038,2025,7,Clothing & Household,35,3.3%,1068
98038,2025,8,Child Care & Parenting,10,<1%,1068
98038,2025,9,Government & Legal,172,16.1%,1068
98038,2025,10,Transportation Assistance,34,3.2%,1068
98038,2025,11,Education,3,<1%,1068
98038,2025,12,Disaster,43,4.0%,1068
98038,2025,13,Other,142,13.3%,1068
98039,2025,2,Housing & Shelter,8,26.7%,30
98039,2025,3,Food,6,20.0%,30
98039,2025,1,Utilities,5,16.7%,30
98039,2025,4,Healthcare & COVID-19,0,0%,30
98039,2025,5,Mental Health & Addictions,0,0%,30
98039,2025,6,Employment & Income,0,0%,30
98039,2025,7,Clothing & Household,0,0%,30
98039,2025,8,Child Care & Parenting,0,0%,30
98039,2025,9,Government & Legal,5,16.7%,30
98039,2025,10,Transportation Assistance,0,0%,30
98039,2025,11,Education,0,0%,30
98039,2025,12,Disaster,0,0%,30
98039,2025,13,Other,6,20.0%,30
98040,2025,2,Housing & Shelter,65,25.5%,255
98040,2025,3,Food,23,9.0%,255
98040,2025,1,Utilities,28,11.0%,255
98040,2025,4,Healthcare & COVID-19,17,6.7%,255
98040,2025,5,Mental Health & Addictions,5,2.0%,255
98040,2025,6,Employment & Income,5,2.0%,255
98040,2025,7,Clothing & Household,6,2.4%,255
98040,2025,8,Child Care & Parenting,2,<1%,255
98040,2025,9,Government & Legal,30,11.8%,255
98040,2025,10,Transportation Assistance,15,5.9%,255
98040,2025,11,Education,4,1.6%,255
98040,2025,12,Disaster,6,2.4%,255
98040,2025,13,Other,49,19.2%,255
98041,2025,2,Housing & Shelter,0,0%,2
98041,2025,3,Food,0,0%,2
98041,2025,1,Utilities,0,0%,2
98041,2025,4,Healthcare & COVID-19,0,0%,2
98041,2025,5,Mental Health & Addictions,0,0%,2
98041,2025,6,Employment & Income,0,0%,2
98041,2025,7,Clothing & Household,0,0%,2
98041,2025,8,Child Care & Parenting,0,0%,2
98041,2025,9,Government & Legal,2,100.0%,2
98041,2025,10,Transportation Assistance,0,0%,2
98041,2025,11,Education,0,0%,2
98041,2025,12,Disaster,0,0%,2
98041,2025,13,Other,0,0%,2
98042,2025,2,Housing & Shelter,574,28.6%,2007
98042,2025,3,Food,268,13.4%,2007
98042,2025,1,Utilities,227,11.3%,2007
98042,2025,4,Healthcare & COVID-19,121,6.0%,2007
98042,2025,5,Mental Health & Addictions,30,1.5%,2007
98042,2025,6,Employment & Income,66,3.3%,2007
98042,2025,7,Clothing & Household,39,1.9%,2007
98042,2025,8,Child Care & Parenting,22,1.1%,2007
98042,2025,9,Government & Legal,271,13.5%,2007
98042,2025,10,Transportation Assistance,93,4.6%,2007
98042,2025,11,Education,11,<1%,2007
98042,2025,12,Disaster,75,3.7%,2007
98042,2025,13,Other,210,10.5%,2007
98045,2025,2,Housing & Shelter,110,27.4%,402
98045,2025,3,Food,45,11.2%,402
98045,2025,1,Utilities,29,7.2%,402
98045,2025,4,Healthcare & COVID-19,32,8.0%,402
98045,2025,5,Mental Health & Addictions,7,1.7%,402
98045,2025,6,Employment & Income,12,3.0%,402
98045,2025,7,Clothing & Household,5,1.2%,402
98045,2025,8,Child Care & Parenting,2,<1%,402
98045,2025,9,Government & Legal,68,16.9%,402
98045,2025,10,Transportation Assistance,18,4.5%,402
98045,2025,11,Education,0,0%,402
98045,2025,12,Disaster,10,2.5%,402
98045,2025,13,Other,64,15.9%,402
98047,2025,2,Housing & Shelter,241,30.6%,788
98047,2025,3,Food,114,14.5%,788
98047,2025,1,Utilities,76,9.6%,788
98047,2025,4,Healthcare & COVID-19,22,2.8%,788
98047,2025,5,Mental Health & Addictions,9,1.1%,788
98047,2025,6,Employment & Income,11,1.4%,788
98047,2025,7,Clothing & Household,42,5.3%,788
98047,2025,8,Child Care & Parenting,3,<1%,788
98047,2025,9,Government & Legal,92,11.7%,788
98047,2025,10,Transportation Assistance,25,3.2%,788
98047,2025,11,Education,1,<1%,788
98047,2025,12,Disaster,62,7.9%,788
98047,2025,13,Other,90,11.4%,788
98050,2025,2,Housing & Shelter,2,15.4%,13
98050,2025,3,Food,1,7.7%,13
98050,2025,1,Utilities,1,7.7%,13
98050,2025,4,Healthcare & COVID-19,2,15.4%,13
98050,2025,5,Mental Health & Addictions,0,0%,13
98050,2025,6,Employment & Income,2,15.4%,13
98050,2025,7,Clothing & Household,0,0%,13
98050,2025,8,Child Care & Parenting,0,0%,13
98050,2025,9,Government & Legal,1,7.7%,13
98050,2025,10,Transportation Assistance,0,0%,13
98050,2025,11,Education,0,0%,13
98050,2025,12,Disaster,2,15.4%,13
98050,2025,13,Other,2,15.4%,13
98051,2025,2,Housing & Shelter,13,17.3%,75
98051,2025,3,Food,9,12.0%,75
98051,2025,1,Utilities,8,10.7%,75
98051,2025,4,Healthcare & COVID-19,10,13.3%,75
98051,2025,5,Mental Health & Addictions,2,2.7%,75
98051,2025,6,Employment & Income,3,4.0%,75
98051,2025,7,Clothing & Household,4,5.3%,75
98051,2025,8,Child Care & Parenting,2,2.7%,75
98051,2025,9,Government & Legal,8,10.7%,75
98051,2025,10,Transportation Assistance,5,6.7%,75
98051,2025,11,Education,0,0%,75
98051,2025,12,Disaster,0,0%,75
98051,2025,13,Other,11,14.7%,75
98052,2025,2,Housing & Shelter,729,26.2%,2784
98052,2025,3,Food,315,11.3%,2784
98052,2025,1,Utilities,261,9.4%,2784
98052,2025,4,Healthcare & COVID-19,174,6.3%,2784
98052,2025,5,Mental Health & Addictions,59,2.1%,2784
98052,2025,6,Employment & Income,76,2.7%,2784
98052,2025,7,Clothing & Household,77,2.8%,2784
98052,2025,8,Child Care & Parenting,15,<1%,2784
98052,2025,9,Government & Legal,505,18.1%,2784
98052,2025,10,Transportation Assistance,122,4.4%,2784
98052,2025,11,Education,10,<1%,2784
98052,2025,12,Disaster,103,3.7%,2784
98052,2025,13,Other,338,12.1%,2784
98053,2025,2,Housing & Shelter,109,21.4%,509
98053,2025,3,Food,46,9.0%,509
98053,2025,1,Utilities,51,10.0%,509
98053,2025,4,Healthcare & COVID-19,48,9.4%,509
98053,2025,5,Mental Health & Addictions,11,2.2%,509
98053,2025,6,Employment & Income,10,2.0%,509
98053,2025,7,Clothing & Household,11,2.2%,509
98053,2025,8,Child Care & Parenting,6,1.2%,509
98053,2025,9,Government & Legal,99,19.4%,509
98053,2025,10,Transportation Assistance,24,4.7%,509
98053,2025,11,Education,1,<1%,509
98053,2025,12,Disaster,17,3.3%,509
98053,2025,13,Other,76,14.9%,509
98055,2025,2,Housing & Shelter,645,31.3%,2061
98055,2025,3,Food,269,13.1%,2061
98055,2025,1,Utilities,223,10.8%,2061
98055,2025,4,Healthcare & COVID-19,81,3.9%,2061
98055,2025,5,Mental Health & Addictions,32,1.6%,2061
98055,2025,6,Employment & Income,54,2.6%,2061
98055,2025,7,Clothing & Household,52,2.5%,2061
98055,2025,8,Child Care & Parenting,26,1.3%,2061
98055,2025,9,Government & Legal,286,13.9%,2061
98055,2025,10,Transportation Assistance,67,3.3%,2061
98055,2025,11,Education,14,<1%,2061
98055,2025,12,Disaster,70,3.4%,2061
98055,2025,13,Other,242,11.7%,2061
98056,2025,2,Housing & Shelter,684,27.8%,2462
98056,2025,3,Food,318,12.9%,2462
98056,2025,1,Utilities,272,11.0%,2462
98056,2025,4,Healthcare & COVID-19,121,4.9%,2462
98056,2025,5,Mental Health & Addictions,38,1.5%,2462
98056,2025,6,Employment & Income,55,2.2%,2462
98056,2025,7,Clothing & Household,133,5.4%,2462
98056,2025,8,Child Care & Parenting,20,<1%,2462
98056,2025,9,Government & Legal,340,13.8%,2462
98056,2025,10,Transportation Assistance,82,3.3%,2462
98056,2025,11,Education,10,<1%,2462
98056,2025,12,Disaster,76,3.1%,2462
98056,2025,13,Other,313,12.7%,2462
98057,2025,2,Housing & Shelter,763,30.4%,2509
98057,2025,3,Food,366,14.6%,2509
98057,2025,1,Utilities,254,10.1%,2509
98057,2025,4,Healthcare & COVID-19,105,4.2%,2509
98057,2025,5,Mental Health & Addictions,48,1.9%,2509
98057,2025,6,Employment & Income,68,2.7%,2509
98057,2025,7,Clothing & Household,88,3.5%,2509
98057,2025,8,Child Care & Parenting,17,<1%,2509
98057,2025,9,Government & Legal,308,12.3%,2509
98057,2025,10,Transportation Assistance,95,3.8%,2509
98057,2025,11,Education,5,<1%,2509
98057,2025,12,Disaster,115,4.6%,2509
98057,2025,13,Other,277,11.0%,2509
98058,2025,2,Housing & Shelter,756,29.5%,2563
98058,2025,3,Food,303,11.8%,2563
98058,2025,1,Utilities,318,12.4%,2563
98058,2025,4,Healthcare & COVID-19,101,3.9%,2563
98058,2025,5,Mental Health & Addictions,57,2.2%,2563
98058,2025,6,Employment & Income,54,2.1%,2563
98058,2025,7,Clothing & Household,56,2.2%,2563
98058,2025,8,Child Care & Parenting,26,1.0%,2563
98058,2025,9,Government & Legal,363,14.2%,2563
98058,2025,10,Transportation Assistance,78,3.0%,2563
98058,2025,11,Education,18,<1%,2563
98058,2025,12,Disaster,83,3.2%,2563
98058,2025,13,Other,350,13.7%,2563
98059,2025,2,Housing & Shelter,335,24.8%,1350
98059,2025,3,Food,170,12.6%,1350
98059,2025,1,Utilities,139,10.3%,1350
98059,2025,4,Healthcare & COVID-19,80,5.9%,1350
98059,2025,5,Mental Health & Addictions,30,2.2%,1350
98059,2025,6,Employment & Income,28,2.1%,1350
98059,2025,7,Clothing & Household,47,3.5%,1350
98059,2025,8,Child Care & Parenting,15,1.1%,1350
98059,2025,9,Government & Legal,226,16.7%,1350
98059,2025,10,Transportation Assistance,59,4.4%,1350
98059,2025,11,Education,5,<1%,1350
98059,2025,12,Disaster,51,3.8%,1350
98059,2025,13,Other,165,12.2%,1350
98062,2025,2,Housing & Shelter,1,50.0%,2
98062,2025,3,Food,1,50.0%,2
98062,2025,1,Utilities,0,0%,2
98062,2025,4,Healthcare & COVID-19,0,0%,2
98062,2025,5,Mental Health & Addictions,0,0%,2
98062,2025,6,Employment & Income,0,0%,2
98062,2025,7,Clothing & Household,0,0%,2
98062,2025,8,Child Care & Parenting,0,0%,2
98062,2025,9,Government & Legal,0,0%,2
98062,2025,10,Transportation Assistance,0,0%,2
98062,2025,11,Education,0,0%,2
98062,2025,12,Disaster,0,0%,2
98062,2025,13,Other,0,0%,2
98064,2025,2,Housing & Shelter,1,7.7%,13
98064,2025,3,Food,2,15.4%,13
98064,2025,1,Utilities,0,0%,13
98064,2025,4,Healthcare & COVID-19,0,0%,13
98064,2025,5,Mental Health & Addictions,0,0%,13
98064,2025,6,Employment & Income,1,7.7%,13
98064,2025,7,Clothing & Household,0,0%,13
98064,2025,8,Child Care & Parenting,0,0%,13
98064,2025,9,Government & Legal,3,23.1%,13
98064,2025,10,Transportation Assistance,2,15.4%,13
98064,2025,11,Education,0,0%,13
98064,2025,12,Disaster,1,7.7%,13
98064,2025,13,Other,3,23.1%,13
98065,2025,2,Housing & Shelter,92,21.7%,423
98065,2025,3,Food,50,11.8%,423
98065,2025,1,Utilities,46,10.9%,423
98065,2025,4,Healthcare & COVID-19,21,5.0%,423
98065,2025,5,Mental Health & Addictions,10,2.4%,423
98065,2025,6,Employment & Income,9,2.1%,423
98065,2025,7,Clothing & Household,9,2.1%,423
98065,2025,8,Child Care & Parenting,0,0%,423
98065,2025,9,Government & Legal,80,18.9%,423
98065,2025,10,Transportation Assistance,20,4.7%,423
98065,2025,11,Education,3,<1%,423
98065,2025,12,Disaster,22,5.2%,423
98065,2025,13,Other,61,14.4%,423
98068,2025,2,Housing & Shelter,1,14.3%,7
98068,2025,3,Food,1,14.3%,7
98068,2025,1,Utilities,0,0%,7
98068,2025,4,Healthcare & COVID-19,0,0%,7
98068,2025,5,Mental Health & Addictions,0,0%,7
98068,2025,6,Employment & Income,0,0%,7
98068,2025,7,Clothing & Household,0,0%,7
98068,2025,8,Child Care & Parenting,0,0%,7
98068,2025,9,Government & Legal,2,28.6%,7
98068,2025,10,Transportation Assistance,2,28.6%,7
98068,2025,11,Education,0,0%,7
98068,2025,12,Disaster,0,0%,7
98068,2025,13,Other,1,14.3%,7
98070,2025,2,Housing & Shelter,49,21.2%,231
98070,2025,3,Food,18,7.8%,231
98070,2025,1,Utilities,6,2.6%,231
98070,2025,4,Healthcare & COVID-19,21,9.1%,231
98070,2025,5,Mental Health & Addictions,2,<1%,231
98070,2025,6,Employment & Income,14,6.1%,231
98070,2025,7,Clothing & Household,8,3.5%,231
98070,2025,8,Child Care & Parenting,1,<1%,231
98070,2025,9,Government & Legal,67,29.0%,231
98070,2025,10,Transportation Assistance,6,2.6%,231
98070,2025,11,Education,0,0%,231
98070,2025,12,Disaster,5,2.2%,231
98070,2025,13,Other,34,14.7%,231
98071,2025,2,Housing & Shelter,9,21.4%,42
98071,2025,3,Food,6,14.3%,42
98071,2025,1,Utilities,5,11.9%,42
98071,2025,4,Healthcare & COVID-19,2,4.8%,42
98071,2025,5,Mental Health & Addictions,2,4.8%,42
98071,2025,6,Employment & Income,2,4.8%,42
98071,2025,7,Clothing & Household,1,2.4%,42
98071,2025,8,Child Care & Parenting,0,0%,42
98071,2025,9,Government & Legal,8,19.0%,42
98071,2025,10,Transportation Assistance,1,2.4%,42
98071,2025,11,Education,0,0%,42
98071,2025,12,Disaster,1,2.4%,42
98071,2025,13,Other,5,11.9%,42
98072,2025,2,Housing & Shelter,146,25.5%,572
98072,2025,3,Food,65,11.4%,572
98072,2025,1,Utilities,69,12.1%,572
98072,2025,4,Healthcare & COVID-19,37,6.5%,572
98072,2025,5,Mental Health & Addictions,12,2.1%,572
98072,2025,6,Employment & Income,8,1.4%,572
98072,2025,7,Clothing & Household,27,4.7%,572
98072,2025,8,Child Care & Parenting,7,1.2%,572
98072,2025,9,Government & Legal,75,13.1%,572
98072,2025,10,Transportation Assistance,28,4.9%,572
98072,2025,11,Education,0,0%,572
98072,2025,12,Disaster,25,4.4%,572
98072,2025,13,Other,73,12.8%,572
98073,2025,2,Housing & Shelter,0,0%,1
98073,2025,3,Food,0,0%,1
98073,2025,1,Utilities,0,0%,1
98073,2025,4,Healthcare & COVID-19,0,0%,1
98073,2025,5,Mental Health & Addictions,0,0%,1
98073,2025,6,Employment & Income,0,0%,1
98073,2025,7,Clothing & Household,0,0%,1
98073,2025,8,Child Care & Parenting,0,0%,1
98073,2025,9,Government & Legal,0,0%,1
98073,2025,10,Transportation Assistance,0,0%,1
98073,2025,11,Education,0,0%,1
